NOTA_ID;ALUNO_ID;ATIVIDADE_ID;NOTA
323;15;1;9
324;15;2;0
325;15;3;5
326;15;4;2
327;15;5;3
328;15;6;3
329;15;7;2
330;15;8;2
331;15;9;0
332;15;10;4
333;15;11;2
334;15;12;1
335;15;13;3
336;15;14;1
337;15;15;2
338;15;16;0
339;15;17;3
340;15;18;0
341;15;19;6
342;15;20;6
343;15;21;6
344;15;22;6
345;15;23;6
346;16;1;7
347;16;2;1
348;16;3;2
349;16;4;1
350;16;5;7
351;16;6;3
352;16;7;6
353;16;8;1
354;16;9;0
355;16;10;2
356;16;11;0
357;16;12;2
358;16;13;2
359;16;14;5
360;16;15;4
361;16;16;7
362;16;17;1
363;16;18;7
364;16;19;8
365;16;20;2
366;16;21;7
367;16;22;3
368;16;23;10
369;17;1;7
370;17;2;3
371;17;3;6
372;17;4;5
373;17;5;7
374;17;6;1
375;17;7;4
376;17;8;1
377;17;9;1
378;17;10;1
379;17;11;0
380;17;12;3
381;17;13;2
382;17;14;3
383;17;15;0
384;17;16;5
385;17;17;2
386;17;18;2
387;17;19;5
388;17;20;8
389;17;21;7
390;17;22;2
391;17;23;9
392;18;1;6
393;18;2;0
394;18;3;2
395;18;4;4
396;18;5;2
397;18;6;3
398;18;7;1
399;18;8;3
400;18;9;2
401;18;10;4
402;18;11;3
403;18;12;0
404;18;13;3
405;18;14;7
406;18;15;1
407;18;16;5
408;18;17;2
409;18;18;3
410;18;19;4
411;18;20;2
412;18;21;2
413;18;22;5
414;18;23;10
415;19;1;7
416;19;2;2
417;19;3;6
418;19;4;5
419;19;5;1
420;19;6;2
421;19;7;4
422;19;8;4
423;19;9;0
424;19;10;3
425;19;11;1
426;19;12;3
427;19;13;5
428;19;14;6
429;19;15;1
430;19;16;4
431;19;17;4
432;19;18;3
433;19;19;2
434;19;20;5
435;19;21;5
436;19;22;6
437;19;23;4
438;20;1;5
439;20;2;6
440;20;3;6
441;20;4;5
442;20;5;3
443;20;6;0
444;20;7;3
445;20;8;1
446;20;9;2
447;20;10;0
448;20;11;2
449;20;12;2
450;20;13;0
451;20;14;4
452;20;15;1
453;20;16;2
454;20;17;0
455;20;18;3
456;20;19;6
457;20;20;6
458;20;21;8
459;20;22;3
460;20;23;6
461;21;1;5
462;21;2;0
463;21;3;8
464;21;4;5
465;21;5;5
466;21;6;0
467;21;7;2
468;21;8;2
469;21;9;3
470;21;10;1
471;21;11;1
472;21;12;3
473;21;13;5
474;21;14;0
475;21;15;1
476;21;16;4
477;21;17;5
478;21;18;5
479;21;19;8
480;21;20;9
481;21;21;7
482;21;22;2
483;21;23;2
484;22;1;2
485;22;2;3
486;22;3;5
487;22;4;4
488;22;5;5
489;22;6;2
490;22;7;1
491;22;8;3
492;22;9;3
493;22;10;2
494;22;11;3
495;22;12;1
496;22;13;0
497;22;14;1
498;22;15;1
499;22;16;0
500;22;17;3
501;22;18;6
502;22;19;1
503;22;20;3
504;22;21;3
505;22;22;5
506;22;23;6
507;23;1;6
508;23;2;0
509;23;3;4
510;23;4;4
511;23;5;3
512;23;6;1
513;23;7;1
514;23;8;0
515;23;9;2
516;23;10;4
517;23;11;2
518;23;12;1
519;23;13;1
520;23;14;0
521;23;15;3
522;23;16;2
523;23;17;4
524;23;18;3
525;23;19;7
526;23;20;9
527;23;21;1
528;23;22;0
529;23;23;8
530;24;1;3
531;24;2;3
532;24;3;9
533;24;4;1
534;24;5;3
535;24;6;1
536;24;7;5
537;24;8;2
538;24;9;1
539;24;10;5
540;24;11;4
541;24;12;4
542;24;13;4
543;24;14;7
544;24;15;5
545;24;16;8
546;24;17;4
547;24;18;0
548;24;19;2
549;24;20;4
550;24;21;5
551;24;22;3
552;24;23;4
553;25;1;9
554;25;2;4
555;25;3;0
556;25;4;5
557;25;5;1
558;25;6;3
559;25;7;5
560;25;8;2
561;25;9;0
562;25;10;4
563;25;11;2
564;25;12;2
565;25;13;2
566;25;14;4
567;25;15;2
568;25;16;0
569;25;17;2
570;25;18;4
571;25;19;1
572;25;20;1
573;25;21;0
574;25;22;6
575;25;23;0
576;26;1;7
577;26;2;1
578;26;3;9
579;26;4;2
580;26;5;2
581;26;6;0
582;26;7;0
583;26;8;0
584;26;9;0
585;26;10;2
586;26;11;4
587;26;12;0
588;26;13;1
589;26;14;7
590;26;15;4
591;26;16;7
592;26;17;0
593;26;18;6
594;26;19;4
595;26;20;8
596;26;21;1
597;26;22;2
598;26;23;9
599;27;1;9
600;27;2;3
601;27;3;4
602;27;4;3
603;27;5;4
604;27;6;2
605;27;7;1
606;27;8;3
607;27;9;3
608;27;10;4
609;27;11;3
610;27;12;3
611;27;13;5
612;27;14;0
613;27;15;5
614;27;16;0
615;27;17;0
616;27;18;4
617;27;19;6
618;27;20;0
619;27;21;6
620;27;22;0
621;27;23;3
622;28;1;4
623;28;2;2
624;28;3;1
625;28;4;1
626;28;5;6
627;28;6;1
628;28;7;7
629;28;8;0
630;28;9;3
631;28;10;3
632;28;11;3
633;28;12;3
634;28;13;6
635;28;14;1
636;28;15;1
637;28;16;1
638;28;17;4
639;28;18;2
640;28;19;8
641;28;20;0
642;28;21;4
643;28;22;5
644;28;23;8
645;29;1;9
646;29;2;4
647;29;3;2
648;29;4;5
649;29;5;0
650;29;6;3
651;29;7;2
652;29;8;3
653;29;9;1
654;29;10;4
655;29;11;0
656;29;12;3
657;29;13;6
658;29;14;7
659;29;15;3
660;29;16;2
661;29;17;3
662;29;18;3
663;29;19;6
664;29;20;3
665;29;21;3
666;29;22;2
667;29;23;9
668;30;1;0
669;30;2;0
670;30;3;4
671;30;4;0
672;30;5;0
673;30;6;0
674;30;7;4
675;30;8;2
676;30;9;3
677;30;10;1
678;30;11;0
679;30;12;2
680;30;13;5
681;30;14;2
682;30;15;3
683;30;16;1
684;30;17;5
685;30;18;3
686;30;19;0
687;30;20;6
688;30;21;3
689;30;22;1
690;30;23;1
691;31;1;8
692;31;2;2
693;31;3;6
694;31;4;4
695;31;5;5
696;31;6;1
697;31;7;1
698;31;8;4
699;31;9;0
700;31;10;2
701;31;11;3
702;31;12;1
703;31;13;1
704;31;14;6
705;31;15;2
706;31;16;4
707;31;17;4
708;31;18;5
709;31;19;2
710;31;20;8
711;31;21;6
712;31;22;0
713;31;23;9
714;32;1;7
715;32;2;1
716;32;3;4
717;32;4;5
718;32;5;2
719;32;6;2
720;32;7;5
721;32;8;4
722;32;9;3
723;32;10;0
724;32;11;0
725;32;12;4
726;32;13;1
727;32;14;3
728;32;15;2
729;32;16;1
730;32;17;3
731;32;18;0
732;32;19;7
733;32;20;8
734;32;21;7
735;32;22;6
736;32;23;9
737;33;1;5
738;33;2;4
739;33;3;8
740;33;4;1
741;33;5;7
742;33;6;0
743;33;7;2
744;33;8;0
745;33;9;0
746;33;10;3
747;33;11;3
748;33;12;4
749;33;13;5
750;33;14;0
751;33;15;4
752;33;16;4
753;33;17;0
754;33;18;3
755;33;19;4
756;33;20;9
757;33;21;3
758;33;22;1
759;33;23;5
760;34;1;8
761;34;2;6
762;34;3;5
763;34;4;3
764;34;5;7
765;34;6;0
766;34;7;7
767;34;8;1
768;34;9;0
769;34;10;5
770;34;11;3
771;34;12;2
772;34;13;1
773;34;14;2
774;34;15;1
775;34;16;5
776;34;17;5
777;34;18;4
778;34;19;4
779;34;20;7
780;34;21;5
781;34;22;3
782;34;23;5
783;35;1;4
784;35;2;1
785;35;3;5
786;35;4;2
787;35;5;3
788;35;6;1
789;35;7;4
790;35;8;1
791;35;9;2
792;35;10;3
793;35;11;4
794;35;12;3
795;35;13;1
796;35;14;7
797;35;15;0
798;35;16;5
799;35;17;5
800;35;18;6
801;35;19;8
802;35;20;8
803;35;21;4
804;35;22;6
805;35;23;4
806;36;1;3
807;36;2;3
808;36;3;7
809;36;4;0
810;36;5;7
811;36;6;0
812;36;7;2
813;36;8;2
814;36;9;0
815;36;10;3
816;36;11;4
817;36;12;1
818;36;13;0
819;36;14;6
820;36;15;3
821;36;16;7
822;36;17;5
823;36;18;1
824;36;19;8
825;36;20;0
826;36;21;0
827;36;22;2
828;36;23;4
829;37;1;4
830;37;2;2
831;37;3;0
832;37;4;0
833;37;5;6
834;37;6;1
835;37;7;6
836;37;8;2
837;37;9;3
838;37;10;0
839;37;11;2
840;37;12;0
841;37;13;1
842;37;14;2
843;37;15;5
844;37;16;2
845;37;17;2
846;37;18;5
847;37;19;1
848;37;20;3
849;37;21;6
850;37;22;2
851;37;23;4
852;38;1;6
853;38;2;5
854;38;3;8
855;38;4;0
856;38;5;4
857;38;6;1
858;38;7;7
859;38;8;3
860;38;9;0
861;38;10;4
862;38;11;2
863;38;12;3
864;38;13;0
865;38;14;3
866;38;15;4
867;38;16;5
868;38;17;0
869;38;18;1
870;38;19;0
871;38;20;4
872;38;21;1
873;38;22;6
874;38;23;3
875;39;1;4
876;39;2;6
877;39;3;5
878;39;4;5
879;39;5;6
880;39;6;2
881;39;7;5
882;39;8;2
883;39;9;3
884;39;10;5
885;39;11;2
886;39;12;2
887;39;13;6
888;39;14;0
889;39;15;1
890;39;16;0
891;39;17;2
892;39;18;6
893;39;19;1
894;39;20;2
895;39;21;0
896;39;22;5
897;39;23;6
898;40;1;1
899;40;2;5
900;40;3;2
901;40;4;5
902;40;5;7
903;40;6;0
904;40;7;4
905;40;8;4
906;40;9;1
907;40;10;4
908;40;11;3
909;40;12;4
910;40;13;0
911;40;14;5
912;40;15;0
913;40;16;0
914;40;17;4
915;40;18;4
916;40;19;2
917;40;20;1
918;40;21;8
919;40;22;4
920;40;23;1
921;41;1;0
922;41;2;3
923;41;3;6
924;41;4;5
925;41;5;2
926;41;6;0
927;41;7;5
928;41;8;4
929;41;9;1
930;41;10;0
931;41;11;0
932;41;12;1
933;41;13;6
934;41;14;5
935;41;15;3
936;41;16;3
937;41;17;1
938;41;18;4
939;41;19;6
940;41;20;7
941;41;21;0
942;41;22;6
943;41;23;5
944;42;1;5
945;42;2;0
946;42;3;6
947;42;4;0
948;42;5;4
949;42;6;0
950;42;7;7
951;42;8;4
952;42;9;2
953;42;10;4
954;42;11;3
955;42;12;1
956;42;13;2
957;42;14;0
958;42;15;1
959;42;16;6
960;42;17;1
961;42;18;0
962;42;19;6
963;42;20;5
964;42;21;1
965;42;22;3
966;42;23;1
967;43;1;1
968;43;2;1
969;43;3;3
970;43;4;5
971;43;5;4
972;43;6;1
973;43;7;1
974;43;8;2
975;43;9;3
976;43;10;4
977;43;11;0
978;43;12;2
979;43;13;6
980;43;14;0
981;43;15;4
982;43;16;1
983;43;17;3
984;43;18;5
985;43;19;4
986;43;20;0
987;43;21;2
988;43;22;4
989;43;23;2
990;44;1;2
991;44;2;6
992;44;3;3
993;44;4;5
994;44;5;1
995;44;6;3
996;44;7;4
997;44;8;2
998;44;9;3
999;44;10;2
1000;44;11;2
1001;44;12;0
1002;44;13;4
1003;44;14;4
1004;44;15;2
1005;44;16;2
1006;44;17;0
1007;44;18;6
1008;44;19;0
1009;44;20;2
1010;44;21;4
1011;44;22;3
1012;44;23;2
1013;45;1;5
1014;45;2;2
1015;45;3;2
1016;45;4;1
1017;45;5;6
1018;45;6;3
1019;45;7;0
1020;45;8;3
1021;45;9;3
1022;45;10;1
1023;45;11;3
1024;45;12;0
1025;45;13;5
1026;45;14;7
1027;45;15;1
1028;45;16;7
1029;45;17;3
1030;45;18;6
1031;45;19;4
1032;45;20;1
1033;45;21;0
1034;45;22;6
1035;45;23;8
1036;46;1;3
1037;46;2;4
1038;46;3;4
1039;46;4;1
1040;46;5;1
1041;46;6;1
1042;46;7;2
1043;46;8;2
1044;46;9;2
1045;46;10;2
1046;46;11;2
1047;46;12;3
1048;46;13;6
1049;46;14;4
1050;46;15;5
1051;46;16;7
1052;46;17;3
1053;46;18;2
1054;46;19;4
1055;46;20;4
1056;46;21;5
1057;46;22;6
1058;46;23;5
1059;47;1;2
1060;47;2;1
1061;47;3;2
1062;47;4;0
1063;47;5;4
1064;47;6;2
1065;47;7;9
1066;47;8;2
1067;47;9;3
1068;47;10;4
1069;47;11;0
1070;47;12;3
1071;47;13;0
1072;47;14;0
1073;47;15;0
1074;47;16;2
1075;47;17;3
1076;47;18;0
1077;47;19;5
1078;47;20;1
1079;47;21;7
1080;47;22;5
1081;47;23;4
1082;48;1;0
1083;48;2;5
1084;48;3;6
1085;48;4;5
1086;48;5;5
1087;48;6;2
1088;48;7;1
1089;48;8;3
1090;48;9;1
1091;48;10;0
1092;48;11;0
1093;48;12;2
1094;48;13;6
1095;48;14;2
1096;48;15;4
1097;48;16;0
1098;48;17;2
1099;48;18;6
1100;48;19;5
1101;48;20;6
1102;48;21;6
1103;48;22;0
1104;48;23;1
1105;49;1;6
1106;49;2;2
1107;49;3;0
1108;49;4;4
1109;49;5;5
1110;49;6;0
1111;49;7;4
1112;49;8;0
1113;49;9;2
1114;49;10;4
1115;49;11;2
1116;49;12;3
1117;49;13;4
1118;49;14;6
1119;49;15;0
1120;49;16;2
1121;49;17;0
1122;49;18;0
1123;49;19;2
1124;49;20;6
1125;49;21;5
1126;49;22;2
1127;49;23;10
1128;50;1;8
1129;50;2;6
1130;50;3;4
1131;50;4;3
1132;50;5;1
1133;50;6;0
1134;50;7;1
1135;50;8;0
1136;50;9;0
1137;50;10;4
1138;50;11;2
1139;50;12;4
1140;50;13;0
1141;50;14;0
1142;50;15;1
1143;50;16;3
1144;50;17;0
1145;50;18;7
1146;50;19;2
1147;50;20;2
1148;50;21;1
1149;50;22;1
1150;50;23;2
