NOTA_ID;ALUNO;ATIVIDADE;NOTA
848;37;20;5
849;37;21;5
850;37;22;4
851;37;23;9
852;38;1;9
853;38;2;8
854;38;3;7
855;38;4;5
856;38;5;8
857;38;6;4
858;38;7;7
859;38;8;4
860;38;9;4
861;38;10;9
862;38;11;5
863;38;12;7
864;38;13;9
865;38;14;4
866;38;15;7
867;38;16;4
868;38;17;5
869;38;18;4
870;38;19;6
871;38;20;5
872;38;21;6
873;38;22;5
874;38;23;10
875;39;1;9
876;39;2;9
877;39;3;9
878;39;4;10
879;39;5;7
880;39;6;9
881;39;7;5
882;39;8;9
883;39;9;5
884;39;10;10
885;39;11;6
886;39;12;8
887;39;13;9
888;39;14;6
889;39;15;5
890;39;16;7
891;39;17;9
892;39;18;5
893;39;19;10
894;39;20;7
895;39;21;7
896;39;22;7
897;39;23;10
898;40;1;10
899;40;2;4
900;40;3;10
901;40;4;6
902;40;5;5
903;40;6;4
904;40;7;10
905;40;8;7
906;40;9;7
907;40;10;8
908;40;11;9
909;40;12;5
910;40;13;5
911;40;14;10
912;40;15;5
913;40;16;9
914;40;17;10
915;40;18;7
916;40;19;8
917;40;20;7
918;40;21;6
919;40;22;5
920;40;23;4
921;41;1;5
922;41;2;8
923;41;3;4
924;41;4;7
925;41;5;8
926;41;6;6
927;41;7;5
928;41;8;10
929;41;9;6
930;41;10;9
931;41;11;4
932;41;12;6
933;41;13;8
934;41;14;9
935;41;15;7
936;41;16;7
937;41;17;6
938;41;18;7
939;41;19;9
940;41;20;9
941;41;21;8
942;41;22;10
943;41;23;8
944;42;1;9
945;42;2;7
946;42;3;4
947;42;4;9
948;42;5;7
949;42;6;10
950;42;7;9
951;42;8;8
952;42;9;9
953;42;10;5
954;42;11;9
955;42;12;4
956;42;13;5
957;42;14;6
958;42;15;10
959;42;16;9
960;42;17;5
961;42;18;10
962;42;19;6
963;42;20;6
964;42;21;9
965;42;22;6
966;42;23;5
967;43;1;8
968;43;2;10
969;43;3;8
970;43;4;10
971;43;5;7
972;43;6;4
973;43;7;8
974;43;8;4
975;43;9;9
976;43;10;7
977;43;11;5
978;43;12;4
979;43;13;5
980;43;14;4
981;43;15;5
982;43;16;9
983;43;17;9
984;43;18;10
985;43;19;4
986;43;20;9
987;43;21;4
988;43;22;9
989;43;23;8
990;44;1;9
991;44;2;5
992;44;3;6
993;44;4;8
994;44;5;5
995;44;6;9
996;44;7;10
997;44;8;5
998;44;9;7
999;44;10;6
1000;44;11;4
1001;44;12;8
1002;44;13;9
1003;44;14;10
1004;44;15;4
1005;44;16;9
1006;44;17;5
1007;44;18;8
1008;44;19;10
1009;44;20;5
1010;44;21;8
1011;44;22;10
1012;44;23;9
1013;45;1;5
1014;45;2;4
1015;45;3;8
1016;45;4;6
1017;45;5;5
1018;45;6;8
1019;45;7;5
1020;45;8;4
1021;45;9;6
1022;45;10;5
1023;45;11;10
1024;45;12;7
1025;45;13;4
1026;45;14;8
1027;45;15;5
1028;45;16;4
1029;45;17;8
1030;45;18;10
1031;45;19;10
1032;45;20;10
1033;45;21;7
1034;45;22;8
1035;45;23;7
1036;46;1;10
1037;46;2;7
1038;46;3;5
1039;46;4;7
1040;46;5;8
1041;46;6;8
1042;46;7;10
1043;46;8;10
1044;46;9;4
1045;46;10;8
1046;46;11;4
1047;46;12;9
1048;46;13;4
1049;46;14;6
1050;46;15;9
1051;46;16;7
1052;46;17;4
1053;46;18;4
1054;46;19;8
1055;46;20;5
1056;46;21;7
1057;46;22;4
1058;46;23;5
1059;47;1;7
1060;47;2;8
1061;47;3;10
1062;47;4;4
1063;47;5;7
1064;47;6;7
1065;47;7;10
1066;47;8;7
1067;47;9;9
1068;47;10;8
1069;47;11;10
1070;47;12;5
1071;47;13;7
1072;47;14;8
1073;47;15;9
1074;47;16;9
1075;47;17;8
1076;47;18;5
1077;47;19;10
1078;47;20;9
1079;47;21;10
1080;47;22;9
1081;47;23;10
1082;48;1;9
1083;48;2;7
1084;48;3;6
1085;48;4;6
1086;48;5;4
1087;48;6;4
1088;48;7;8
1089;48;8;5
1090;48;9;10
1091;48;10;9
1092;48;11;9
1093;48;12;7
1094;48;13;6
1095;48;14;10
1096;48;15;6
1097;48;16;8
1098;48;17;8
1099;48;18;6
1100;48;19;7
1101;48;20;7
1102;48;21;7
1103;48;22;4
1104;48;23;8
1105;49;1;7
1106;49;2;6
1107;49;3;6
1108;49;4;7
1109;49;5;7
1110;49;6;5
1111;49;7;5
1112;49;8;9
1113;49;9;5
1114;49;10;10
1115;49;11;6
1116;49;12;10
1117;49;13;8
1118;49;14;8
1119;49;15;6
1120;49;16;4
1121;49;17;6
1122;49;18;4
1123;49;19;9
1124;49;20;7
1125;49;21;10
1126;49;22;5
1127;49;23;7
1128;50;1;7
1129;50;2;8
1130;50;3;7
1131;50;4;6
1132;50;5;9
1133;50;6;6
1134;50;7;10
1135;50;8;8
1136;50;9;6
1137;50;10;6
1138;50;11;6
1139;50;12;6
1140;50;13;6
1141;50;14;7
1142;50;15;10
1143;50;16;10
1144;50;17;5
1145;50;18;8
1146;50;19;9
1147;50;20;10
1148;50;21;5
1149;50;22;5
1150;50;23;5
