ID,FUNCIONARIO,CODIGO BENEFICIO,FUNCAO_ID,INSS,TOTAL_HORAS_ATRASO,MES,YEAR
132,32,4,4,3,13.0,3,2010
133,33,5,13,10,26.0,3,2010
134,34,2,11,6,22.0,3,2010
135,35,2,13,3,20.0,3,2010
136,36,4,15,8,20.0,3,2010
137,37,3,4,10,7.0,3,2010
138,38,9,16,10,6.0,3,2010
139,39,5,8,8,24.0,3,2010
140,40,7,12,3,6.0,3,2010
141,41,3,8,5,5.0,3,2010
142,42,6,1,9,12.0,3,2010
143,43,1,8,8,25.0,3,2010
144,44,1,5,9,3.0,3,2010
145,45,3,13,5,18.0,3,2010
146,46,9,7,5,25.0,3,2010
147,47,3,2,3,16.0,3,2010
148,48,9,13,10,27.0,3,2010
149,49,9,5,6,13.0,3,2010
150,50,4,11,6,17.0,3,2010
151,1,2,11,6,9.0,4,2010
152,2,8,7,3,7.0,4,2010
153,3,9,11,10,3.0,4,2010
154,4,8,10,5,9.0,4,2010
155,5,9,10,9,11.0,4,2010
156,6,4,13,4,2.0,4,2010
157,7,6,9,7,26.0,4,2010
158,8,5,10,4,7.0,4,2010
159,9,4,7,4,17.0,4,2010
160,10,1,3,8,13.0,4,2010
161,11,5,3,10,18.0,4,2010
162,12,6,12,6,16.0,4,2010
163,13,2,9,4,13.0,4,2010
164,14,6,16,10,26.0,4,2010
165,15,7,11,8,18.0,4,2010
166,16,9,15,6,6.0,4,2010
167,17,2,8,7,22.0,4,2010
168,18,8,2,10,20.0,4,2010
169,19,4,10,7,5.0,4,2010
170,20,9,2,3,19.0,4,2010
171,21,4,13,9,9.0,4,2010
172,22,9,9,5,14.0,4,2010
173,23,3,7,5,20.0,4,2010
174,24,2,12,7,25.0,4,2010
175,25,1,8,6,2.0,4,2010
176,26,6,3,4,14.0,4,2010
177,27,6,1,4,18.0,4,2010
178,28,7,10,8,12.0,4,2010
179,29,7,14,5,3.0,4,2010
180,30,9,3,7,23.0,4,2010
181,31,8,9,9,12.0,4,2010
182,32,4,4,6,5.0,4,2010
183,33,5,13,6,13.0,4,2010
184,34,2,11,9,14.0,4,2010
185,35,2,13,4,6.0,4,2010
186,36,4,15,6,31.0,4,2010
187,37,3,4,10,17.0,4,2010
188,38,9,16,3,15.0,4,2010
189,39,5,8,9,9.0,4,2010
190,40,7,12,8,25.0,4,2010
191,41,3,8,5,15.0,4,2010
192,42,6,1,3,19.0,4,2010
193,43,1,8,6,17.0,4,2010
194,44,1,5,8,14.0,4,2010
195,45,3,13,8,24.0,4,2010
196,46,9,7,6,6.0,4,2010
197,47,3,2,7,28.0,4,2010
198,48,9,13,7,12.0,4,2010
199,49,9,5,3,11.0,4,2010
200,50,4,11,4,17.0,4,2010
201,1,2,11,10,13.0,5,2010
202,2,8,7,6,13.0,5,2010
203,3,9,11,6,25.0,5,2010
204,4,8,10,3,3.0,5,2010
205,5,9,10,6,14.0,5,2010
206,6,4,13,8,4.0,5,2010
207,7,6,9,6,17.0,5,2010
208,8,5,10,7,3.0,5,2010
209,9,4,7,3,23.0,5,2010
210,10,1,3,8,12.0,5,2010
211,11,5,3,9,27.0,5,2010
212,12,6,12,6,25.0,5,2010
213,13,2,9,4,14.0,5,2010
214,14,6,16,10,9.0,5,2010
215,15,7,11,10,9.0,5,2010
216,16,9,15,10,11.0,5,2010
217,17,2,8,10,16.0,5,2010
218,18,8,2,9,15.0,5,2010
219,19,4,10,5,29.0,5,2010
220,20,9,2,9,27.0,5,2010
221,21,4,13,9,6.0,5,2010
222,22,9,9,8,29.0,5,2010
223,23,3,7,10,29.0,5,2010
224,24,2,12,7,25.0,5,2010
225,25,1,8,9,9.0,5,2010
226,26,6,3,9,8.0,5,2010
227,27,6,1,10,30.0,5,2010
228,28,7,10,8,27.0,5,2010
229,29,7,14,4,21.0,5,2010
230,30,9,3,6,25.0,5,2010
231,31,8,9,6,3.0,5,2010
232,32,4,4,5,17.0,5,2010
233,33,5,13,7,19.0,5,2010
234,34,2,11,8,5.0,5,2010
235,35,2,13,4,2.0,5,2010
236,36,4,15,8,25.0,5,2010
237,37,3,4,9,28.0,5,2010
238,38,9,16,10,30.0,5,2010
239,39,5,8,7,17.0,5,2010
240,40,7,12,3,4.0,5,2010
241,41,3,8,10,24.0,5,2010
242,42,6,1,7,9.0,5,2010
243,43,1,8,6,10.0,5,2010
244,44,1,5,10,17.0,5,2010
245,45,3,13,4,24.0,5,2010
246,46,9,7,5,10.0,5,2010
247,47,3,2,5,3.0,5,2010
248,48,9,13,5,29.0,5,2010
249,49,9,5,8,11.0,5,2010
250,50,4,11,9,12.0,5,2010
251,1,2,11,8,19.0,6,2010
252,2,8,7,3,7.0,6,2010
253,3,9,11,7,21.0,6,2010
254,4,8,10,10,6.0,6,2010
255,5,9,10,6,10.0,6,2010
256,6,4,13,9,3.0,6,2010
257,7,6,9,9,4.0,6,2010
258,8,5,10,4,23.0,6,2010
259,9,4,7,6,15.0,6,2010
260,10,1,3,9,16.0,6,2010
261,11,5,3,6,5.0,6,2010
262,12,6,12,10,30.0,6,2010
263,13,2,9,3,30.0,6,2010
264,14,6,16,9,27.0,6,2010
265,15,7,11,3,15.0,6,2010
266,16,9,15,8,22.0,6,2010
267,17,2,8,8,9.0,6,2010
268,18,8,2,3,8.0,6,2010
269,19,4,10,6,23.0,6,2010
270,20,9,2,9,19.0,6,2010
271,21,4,13,4,11.0,6,2010
272,22,9,9,6,26.0,6,2010
273,23,3,7,4,19.0,6,2010
274,24,2,12,6,10.0,6,2010
275,25,1,8,9,2.0,6,2010
276,26,6,3,6,18.0,6,2010
277,27,6,1,10,25.0,6,2010
278,28,7,10,4,5.0,6,2010
279,29,7,14,10,22.0,6,2010
280,30,9,3,6,24.0,6,2010
281,31,8,9,5,14.0,6,2010
282,32,4,4,4,21.0,6,2010
283,33,5,13,8,14.0,6,2010
284,34,2,11,5,21.0,6,2010
285,35,2,13,6,12.0,6,2010
286,36,4,15,6,28.0,6,2010
287,37,3,4,10,30.0,6,2010
288,38,9,16,4,26.0,6,2010
289,39,5,8,10,20.0,6,2010
290,40,7,12,4,13.0,6,2010
291,41,3,8,4,13.0,6,2010
292,42,6,1,7,24.0,6,2010
293,43,1,8,9,4.0,6,2010
294,44,1,5,9,23.0,6,2010
295,45,3,13,5,24.0,6,2010
296,46,9,7,9,29.0,6,2010
297,47,3,2,5,16.0,6,2010
298,48,9,13,8,25.0,6,2010
299,49,9,5,10,3.0,6,2010
300,50,4,11,9,10.0,6,2010
301,1,2,11,7,5.0,7,2010
302,2,8,7,5,9.0,7,2010
303,3,9,11,6,4.0,7,2010
304,4,8,10,7,26.0,7,2010
305,5,9,10,9,14.0,7,2010
306,6,4,13,4,17.0,7,2010
307,7,6,9,5,6.0,7,2010
308,8,5,10,7,27.0,7,2010
309,9,4,7,7,26.0,7,2010
310,10,1,3,4,25.0,7,2010
311,11,5,3,4,12.0,7,2010
312,12,6,12,7,19.0,7,2010
313,13,2,9,7,30.0,7,2010
314,14,6,16,5,17.0,7,2010
315,15,7,11,3,9.0,7,2010
316,16,9,15,8,3.0,7,2010
317,17,2,8,7,16.0,7,2010
318,18,8,2,10,30.0,7,2010
319,19,4,10,4,24.0,7,2010
320,20,9,2,7,23.0,7,2010
321,21,4,13,7,11.0,7,2010
322,22,9,9,7,4.0,7,2010
323,23,3,7,7,7.0,7,2010
324,24,2,12,3,3.0,7,2010
325,25,1,8,7,8.0,7,2010
326,26,6,3,3,28.0,7,2010
327,27,6,1,6,6.0,7,2010
328,28,7,10,10,16.0,7,2010
329,29,7,14,5,14.0,7,2010
330,30,9,3,8,16.0,7,2010
331,31,8,9,5,25.0,7,2010
332,32,4,4,4,21.0,7,2010
333,33,5,13,6,21.0,7,2010
334,34,2,11,6,21.0,7,2010
335,35,2,13,7,13.0,7,2010
336,36,4,15,7,24.0,7,2010
337,37,3,4,5,7.0,7,2010
338,38,9,16,5,26.0,7,2010
339,39,5,8,8,24.0,7,2010
340,40,7,12,9,18.0,7,2010
341,41,3,8,3,15.0,7,2010
342,42,6,1,8,27.0,7,2010
343,43,1,8,10,12.0,7,2010
344,44,1,5,7,28.0,7,2010
345,45,3,13,9,15.0,7,2010
346,46,9,7,8,15.0,7,2010
347,47,3,2,6,15.0,7,2010
348,48,9,13,9,9.0,7,2010
349,49,9,5,6,17.0,7,2010
350,50,4,11,8,29.0,7,2010
351,1,2,11,8,6.0,8,2010
352,2,8,7,5,19.0,8,2010
353,3,9,11,9,18.0,8,2010
354,4,8,10,9,30.0,8,2010
355,5,9,10,6,7.0,8,2010
356,6,4,13,4,31.0,8,2010
357,7,6,9,8,6.0,8,2010
358,8,5,10,8,29.0,8,2010
359,9,4,7,6,11.0,8,2010
360,10,1,3,4,28.0,8,2010
361,11,5,3,8,27.0,8,2010
362,12,6,12,9,31.0,8,2010
363,13,2,9,7,19.0,8,2010
364,14,6,16,4,24.0,8,2010
365,15,7,11,8,4.0,8,2010
366,16,9,15,7,30.0,8,2010
367,17,2,8,10,9.0,8,2010
368,18,8,2,6,7.0,8,2010
369,19,4,10,7,3.0,8,2010
370,20,9,2,9,8.0,8,2010
371,21,4,13,3,25.0,8,2010
372,22,9,9,8,5.0,8,2010
373,23,3,7,6,3.0,8,2010
374,24,2,12,6,8.0,8,2010
375,25,1,8,3,11.0,8,2010
376,26,6,3,3,16.0,8,2010
377,27,6,1,6,22.0,8,2010
378,28,7,10,9,23.0,8,2010
379,29,7,14,4,8.0,8,2010
380,30,9,3,10,6.0,8,2010
381,31,8,9,5,17.0,8,2010
382,32,4,4,4,5.0,8,2010
383,33,5,13,6,14.0,8,2010
384,34,2,11,8,22.0,8,2010
385,35,2,13,6,23.0,8,2010
386,36,4,15,8,7.0,8,2010
387,37,3,4,9,24.0,8,2010
388,38,9,16,10,20.0,8,2010
389,39,5,8,8,25.0,8,2010
390,40,7,12,3,6.0,8,2010
391,41,3,8,8,13.0,8,2010
392,42,6,1,5,4.0,8,2010
393,43,1,8,3,26.0,8,2010
394,44,1,5,3,16.0,8,2010
395,45,3,13,10,16.0,8,2010
396,46,9,7,9,29.0,8,2010
397,47,3,2,8,5.0,8,2010
398,48,9,13,8,26.0,8,2010
399,49,9,5,10,25.0,8,2010
400,50,4,11,8,14.0,8,2010
401,1,2,11,9,12.0,9,2010
402,2,8,7,7,15.0,9,2010
403,3,9,11,10,25.0,9,2010
404,4,8,10,7,17.0,9,2010
405,5,9,10,5,24.0,9,2010
406,6,4,13,10,11.0,9,2010
407,7,6,9,10,30.0,9,2010
408,8,5,10,4,17.0,9,2010
409,9,4,7,3,20.0,9,2010
410,10,1,3,10,29.0,9,2010
411,11,5,3,8,17.0,9,2010
412,12,6,12,7,22.0,9,2010
413,13,2,9,7,15.0,9,2010
414,14,6,16,8,11.0,9,2010
415,15,7,11,5,6.0,9,2010
416,16,9,15,8,14.0,9,2010
417,17,2,8,7,15.0,9,2010
418,18,8,2,9,3.0,9,2010
419,19,4,10,6,19.0,9,2010
420,20,9,2,3,26.0,9,2010
421,21,4,13,10,12.0,9,2010
422,22,9,9,9,29.0,9,2010
423,23,3,7,7,9.0,9,2010
424,24,2,12,6,12.0,9,2010
425,25,1,8,5,28.0,9,2010
426,26,6,3,4,22.0,9,2010
427,27,6,1,10,25.0,9,2010
428,28,7,10,7,15.0,9,2010
429,29,7,14,6,23.0,9,2010
430,30,9,3,7,26.0,9,2010
431,31,8,9,5,10.0,9,2010
432,32,4,4,9,20.0,9,2010
433,33,5,13,4,22.0,9,2010
434,34,2,11,10,22.0,9,2010
435,35,2,13,7,19.0,9,2010
436,36,4,15,6,16.0,9,2010
437,37,3,4,4,19.0,9,2010
438,38,9,16,3,6.0,9,2010
439,39,5,8,10,19.0,9,2010
440,40,7,12,4,26.0,9,2010
441,41,3,8,6,22.0,9,2010
442,42,6,1,10,12.0,9,2010
443,43,1,8,7,11.0,9,2010
444,44,1,5,9,8.0,9,2010
445,45,3,13,5,16.0,9,2010
446,46,9,7,10,19.0,9,2010
447,47,3,2,7,29.0,9,2010
448,48,9,13,5,9.0,9,2010
449,49,9,5,8,30.0,9,2010
450,50,4,11,4,15.0,9,2010
451,1,2,11,3,31.0,10,2010
452,2,8,7,8,8.0,10,2010
453,3,9,11,8,10.0,10,2010
454,4,8,10,6,26.0,10,2010
455,5,9,10,8,25.0,10,2010
456,6,4,13,9,6.0,10,2010
457,7,6,9,4,16.0,10,2010
458,8,5,10,9,31.0,10,2010
459,9,4,7,9,3.0,10,2010
460,10,1,3,6,19.0,10,2010
461,11,5,3,8,9.0,10,2010
462,12,6,12,3,10.0,10,2010
463,13,2,9,9,5.0,10,2010
464,14,6,16,10,3.0,10,2010
465,15,7,11,7,16.0,10,2010
466,16,9,15,5,7.0,10,2010
467,17,2,8,7,16.0,10,2010
468,18,8,2,3,9.0,10,2010
469,19,4,10,10,3.0,10,2010
470,20,9,2,10,31.0,10,2010
471,21,4,13,8,15.0,10,2010
472,22,9,9,7,5.0,10,2010
473,23,3,7,3,6.0,10,2010
474,24,2,12,4,10.0,10,2010
475,25,1,8,7,28.0,10,2010
476,26,6,3,3,30.0,10,2010
477,27,6,1,8,3.0,10,2010
478,28,7,10,4,6.0,10,2010
479,29,7,14,8,30.0,10,2010
480,30,9,3,5,7.0,10,2010
481,31,8,9,4,13.0,10,2010
482,32,4,4,3,10.0,10,2010
483,33,5,13,7,25.0,10,2010
484,34,2,11,4,7.0,10,2010
485,35,2,13,6,13.0,10,2010
486,36,4,15,8,21.0,10,2010
487,37,3,4,8,22.0,10,2010
488,38,9,16,9,12.0,10,2010
489,39,5,8,3,11.0,10,2010
490,40,7,12,7,2.0,10,2010
491,41,3,8,3,14.0,10,2010
492,42,6,1,10,11.0,10,2010
493,43,1,8,6,27.0,10,2010
494,44,1,5,3,14.0,10,2010
495,45,3,13,5,2.0,10,2010
496,46,9,7,6,6.0,10,2010
497,47,3,2,6,10.0,10,2010
498,48,9,13,7,9.0,10,2010
499,49,9,5,3,9.0,10,2010
500,50,4,11,6,25.0,10,2010
501,1,2,11,3,31.0,11,2010
502,2,8,7,6,4.0,11,2010
503,3,9,11,5,20.0,11,2010
504,4,8,10,8,11.0,11,2010
505,5,9,10,10,2.0,11,2010
506,6,4,13,6,10.0,11,2010
507,7,6,9,9,9.0,11,2010
508,8,5,10,3,29.0,11,2010
509,9,4,7,10,20.0,11,2010
510,10,1,3,5,9.0,11,2010
511,11,5,3,4,15.0,11,2010
512,12,6,12,5,31.0,11,2010
513,13,2,9,9,11.0,11,2010
514,14,6,16,5,29.0,11,2010
515,15,7,11,9,17.0,11,2010
516,16,9,15,6,12.0,11,2010
517,17,2,8,8,15.0,11,2010
518,18,8,2,3,30.0,11,2010
519,19,4,10,8,24.0,11,2010
520,20,9,2,5,10.0,11,2010
521,21,4,13,8,9.0,11,2010
522,22,9,9,4,2.0,11,2010
523,23,3,7,10,31.0,11,2010
524,24,2,12,8,4.0,11,2010
525,25,1,8,4,14.0,11,2010
526,26,6,3,9,10.0,11,2010
527,27,6,1,5,29.0,11,2010
528,28,7,10,5,4.0,11,2010
529,29,7,14,10,16.0,11,2010
530,30,9,3,4,27.0,11,2010
531,31,8,9,6,10.0,11,2010
532,32,4,4,7,19.0,11,2010
533,33,5,13,8,11.0,11,2010
534,34,2,11,3,28.0,11,2010
535,35,2,13,7,9.0,11,2010
536,36,4,15,9,26.0,11,2010
537,37,3,4,9,15.0,11,2010
538,38,9,16,5,16.0,11,2010
539,39,5,8,5,9.0,11,2010
540,40,7,12,7,24.0,11,2010
541,41,3,8,7,17.0,11,2010
542,42,6,1,9,5.0,11,2010
543,43,1,8,4,25.0,11,2010
544,44,1,5,10,21.0,11,2010
545,45,3,13,5,6.0,11,2010
546,46,9,7,3,10.0,11,2010
547,47,3,2,7,4.0,11,2010
548,48,9,13,10,4.0,11,2010
549,49,9,5,8,23.0,11,2010
550,50,4,11,10,26.0,11,2010
551,1,2,11,5,24.0,12,2010
552,2,8,7,10,5.0,12,2010
553,3,9,11,10,5.0,12,2010
554,4,8,10,5,17.0,12,2010
555,5,9,10,7,6.0,12,2010
556,6,4,13,4,6.0,12,2010
557,7,6,9,7,15.0,12,2010
558,8,5,10,4,31.0,12,2010
559,9,4,7,5,17.0,12,2010
560,10,1,3,5,14.0,12,2010
561,11,5,3,7,3.0,12,2010
562,12,6,12,3,15.0,12,2010
563,13,2,9,6,21.0,12,2010
564,14,6,16,5,20.0,12,2010
565,15,7,11,5,5.0,12,2010
566,16,9,15,8,14.0,12,2010
567,17,2,8,3,20.0,12,2010
568,18,8,2,9,20.0,12,2010
569,19,4,10,4,29.0,12,2010
570,20,9,2,10,5.0,12,2010
571,21,4,13,8,27.0,12,2010
572,22,9,9,5,28.0,12,2010
573,23,3,7,7,30.0,12,2010
574,24,2,12,5,21.0,12,2010
575,25,1,8,8,17.0,12,2010
576,26,6,3,6,21.0,12,2010
577,27,6,1,3,21.0,12,2010
578,28,7,10,10,19.0,12,2010
579,29,7,14,10,5.0,12,2010
580,30,9,3,4,30.0,12,2010
581,31,8,9,10,5.0,12,2010
582,32,4,4,3,15.0,12,2010
583,33,5,13,9,21.0,12,2010
584,34,2,11,10,26.0,12,2010
585,35,2,13,5,18.0,12,2010
586,36,4,15,3,11.0,12,2010
587,37,3,4,4,27.0,12,2010
588,38,9,16,9,27.0,12,2010
589,39,5,8,5,7.0,12,2010
590,40,7,12,6,7.0,12,2010
591,41,3,8,9,22.0,12,2010
592,42,6,1,3,28.0,12,2010
593,43,1,8,6,21.0,12,2010
594,44,1,5,4,18.0,12,2010
595,45,3,13,6,23.0,12,2010
596,46,9,7,7,2.0,12,2010
597,47,3,2,3,18.0,12,2010
598,48,9,13,4,28.0,12,2010
599,49,9,5,4,19.0,12,2010
600,50,4,11,8,24.0,12,2010
601,1,2,11,10,15.0,1,2011
602,2,8,7,3,5.0,1,2011
603,3,9,11,6,14.0,1,2011
604,4,8,10,10,23.0,1,2011
605,5,9,10,4,22.0,1,2011
606,6,4,13,9,15.0,1,2011
607,7,6,9,8,19.0,1,2011
608,8,5,10,8,28.0,1,2011
609,9,4,7,4,20.0,1,2011
610,10,1,3,8,28.0,1,2011
611,11,5,3,5,10.0,1,2011
612,12,6,12,10,3.0,1,2011
613,13,2,9,10,30.0,1,2011
614,14,6,16,8,28.0,1,2011
615,15,7,11,9,22.0,1,2011
616,16,9,15,9,17.0,1,2011
617,17,2,8,7,11.0,1,2011
618,18,8,2,3,11.0,1,2011
619,19,4,10,8,29.0,1,2011
620,20,9,2,7,12.0,1,2011
621,21,4,13,3,11.0,1,2011
622,22,9,9,3,21.0,1,2011
623,23,3,7,9,30.0,1,2011
624,24,2,12,6,16.0,1,2011
625,25,1,8,6,2.0,1,2011
626,26,6,3,7,28.0,1,2011
627,27,6,1,4,10.0,1,2011
628,28,7,10,7,21.0,1,2011
629,29,7,14,7,6.0,1,2011
630,30,9,3,9,24.0,1,2011
631,31,8,9,5,10.0,1,2011
632,32,4,4,9,25.0,1,2011
633,33,5,13,3,19.0,1,2011
634,34,2,11,9,20.0,1,2011
635,35,2,13,9,25.0,1,2011
636,36,4,15,7,13.0,1,2011
637,37,3,4,6,29.0,1,2011
638,38,9,16,7,26.0,1,2011
639,39,5,8,7,7.0,1,2011
640,40,7,12,8,10.0,1,2011
641,41,3,8,9,29.0,1,2011
642,42,6,1,6,23.0,1,2011
643,43,1,8,5,5.0,1,2011
644,44,1,5,6,2.0,1,2011
645,45,3,13,5,8.0,1,2011
646,46,9,7,10,6.0,1,2011
647,47,3,2,7,27.0,1,2011
648,48,9,13,10,12.0,1,2011
649,49,9,5,6,28.0,1,2011
650,50,4,11,8,12.0,1,2011
651,1,2,11,3,12.0,2,2011
652,2,8,7,5,7.0,2,2011
653,3,9,11,8,30.0,2,2011
654,4,8,10,8,14.0,2,2011
655,5,9,10,3,12.0,2,2011
656,6,4,13,8,18.0,2,2011
657,7,6,9,5,7.0,2,2011
658,8,5,10,4,2.0,2,2011
659,9,4,7,5,12.0,2,2011
660,10,1,3,3,22.0,2,2011
661,11,5,3,9,27.0,2,2011
662,12,6,12,8,17.0,2,2011
663,13,2,9,5,26.0,2,2011
664,14,6,16,3,23.0,2,2011
665,15,7,11,7,8.0,2,2011
666,16,9,15,7,27.0,2,2011
667,17,2,8,9,8.0,2,2011
668,18,8,2,7,9.0,2,2011
669,19,4,10,10,4.0,2,2011
670,20,9,2,9,16.0,2,2011
671,21,4,13,4,4.0,2,2011
672,22,9,9,7,17.0,2,2011
673,23,3,7,6,22.0,2,2011
674,24,2,12,3,18.0,2,2011
675,25,1,8,4,12.0,2,2011
676,26,6,3,9,11.0,2,2011
677,27,6,1,10,29.0,2,2011
678,28,7,10,7,30.0,2,2011
679,29,7,14,3,16.0,2,2011
680,30,9,3,7,11.0,2,2011
681,31,8,9,4,21.0,2,2011
682,32,4,4,5,31.0,2,2011
683,33,5,13,6,18.0,2,2011
684,34,2,11,4,21.0,2,2011
685,35,2,13,8,27.0,2,2011
686,36,4,15,7,7.0,2,2011
687,37,3,4,7,2.0,2,2011
688,38,9,16,8,17.0,2,2011
689,39,5,8,3,5.0,2,2011
690,40,7,12,7,23.0,2,2011
691,41,3,8,3,15.0,2,2011
692,42,6,1,9,23.0,2,2011
693,43,1,8,6,26.0,2,2011
694,44,1,5,5,15.0,2,2011
695,45,3,13,9,29.0,2,2011
696,46,9,7,5,27.0,2,2011
697,47,3,2,7,2.0,2,2011
698,48,9,13,10,11.0,2,2011
699,49,9,5,7,10.0,2,2011
700,50,4,11,7,7.0,2,2011
701,1,2,11,10,10.0,3,2011
702,2,8,7,4,27.0,3,2011
703,3,9,11,8,3.0,3,2011
704,4,8,10,7,27.0,3,2011
705,5,9,10,8,27.0,3,2011
706,6,4,13,6,4.0,3,2011
707,7,6,9,6,18.0,3,2011
708,8,5,10,5,5.0,3,2011
709,9,4,7,3,18.0,3,2011
710,10,1,3,10,31.0,3,2011
711,11,5,3,5,18.0,3,2011
712,12,6,12,3,5.0,3,2011
713,13,2,9,9,30.0,3,2011
714,14,6,16,4,17.0,3,2011
715,15,7,11,7,13.0,3,2011
716,16,9,15,6,8.0,3,2011
717,17,2,8,8,16.0,3,2011
718,18,8,2,7,31.0,3,2011
719,19,4,10,5,25.0,3,2011
720,20,9,2,10,5.0,3,2011
721,21,4,13,5,11.0,3,2011
722,22,9,9,4,3.0,3,2011
723,23,3,7,9,17.0,3,2011
724,24,2,12,8,30.0,3,2011
725,25,1,8,4,12.0,3,2011
726,26,6,3,7,29.0,3,2011
727,27,6,1,5,31.0,3,2011
728,28,7,10,8,10.0,3,2011
729,29,7,14,7,15.0,3,2011
730,30,9,3,4,31.0,3,2011
