PEDIDO_ID,PEDIDO_DATA,COD CLIENTE,COD_VENDEDOR,COD PRODUTO,QUANTIDADE PRODUTO,VALOR PRODUTO
134,22/04/2015,466,155,14,4,3.519
135,07/02/2020,109,131,8,4,5.389
136,21/02/2019,438,138,3,3,4.269
137,06/06/2019,114,32,5,2,1.229
138,22/11/2018,294,184,18,2,4.561
139,27/01/2020,233,13,15,2,6.219
140,06/07/2016,40,22,4,4,4.149
141,11/02/2016,433,40,13,2,3.279
142,19/10/2016,171,263,15,3,6.219
143,28/02/2015,190,71,5,3,1.229
144,21/11/2017,407,84,2,4,2.789
145,11/01/2017,495,51,21,2,6.119
146,04/10/2020,54,150,5,1,1.229
147,20/09/2020,377,188,15,3,6.219
148,01/04/2017,360,296,13,3,3.279
149,27/08/2016,498,288,5,4,1.229
150,18/12/2016,400,31,12,1,1.899
151,28/03/2017,451,132,5,3,1.229
152,18/10/2018,366,37,4,4,4.149
153,22/07/2020,338,10,4,4,4.149
154,09/01/2019,38,126,3,1,4.269
155,28/06/2017,194,223,22,1,8.279
156,28/08/2015,289,221,10,4,3.131
157,31/07/2019,382,5,5,4,1.229
158,02/01/2017,285,201,6,3,1.589
159,03/01/2016,293,94,22,2,8.279
160,01/03/2018,160,97,23,2,4.27
161,26/09/2016,36,85,3,4,4.269
162,29/06/2020,264,276,9,1,2.319
163,02/10/2020,366,158,17,1,4.719
164,27/05/2015,40,162,9,1,2.319
165,25/10/2019,179,160,3,4,4.269
166,19/09/2020,89,43,8,3,5.389
167,01/01/2015,122,271,15,1,6.219
168,19/01/2018,423,84,13,4,3.279
169,04/12/2018,319,258,23,3,4.27
170,22/04/2016,330,223,7,1,2.919
171,25/03/2020,204,268,8,4,5.389
172,30/10/2017,178,179,8,1,5.389
173,16/02/2015,94,249,14,3,3.519
174,23/05/2017,497,173,17,1,4.719
175,10/05/2017,123,125,21,2,6.119
176,17/02/2016,46,160,5,4,1.229
177,01/02/2016,288,39,10,4,3.131
178,19/02/2019,149,82,21,3,6.119
179,09/08/2019,52,96,3,4,4.269
180,03/04/2018,53,128,23,3,4.27
181,30/07/2017,3,28,10,3,3.131
182,05/11/2020,177,184,3,1,4.269
183,15/02/2015,322,181,3,2,4.269
184,10/02/2019,291,33,23,4,4.27
185,14/12/2015,469,120,12,3,1.899
186,07/04/2019,396,127,21,2,6.119
187,01/07/2016,53,274,5,1,1.229
188,18/08/2018,304,129,7,4,2.919
189,12/07/2018,134,102,6,1,1.589
190,26/07/2019,399,162,5,4,1.229
191,26/10/2019,85,133,12,4,1.899
192,29/11/2015,400,108,22,2,8.279
193,25/05/2015,122,26,5,3,1.229
194,17/12/2018,396,286,4,4,4.149
195,25/04/2017,448,59,20,4,5.119
196,27/04/2018,40,85,8,3,5.389
197,29/10/2019,147,221,20,4,5.119
198,18/08/2015,417,176,10,4,3.131
199,12/05/2015,337,207,16,1,5.109
200,31/10/2015,192,198,2,4,2.789
201,09/12/2016,34,139,8,4,5.389
202,05/08/2017,234,29,14,3,3.519
203,11/06/2015,259,224,15,3,6.219
204,10/07/2020,101,127,18,3,4.561
205,21/10/2018,328,276,7,1,2.919
206,06/05/2016,304,147,14,1,3.519
207,27/07/2015,454,70,2,3,2.789
208,04/02/2018,434,115,15,3,6.219
209,27/05/2018,334,9,23,1,4.27
210,25/08/2019,269,230,5,3,1.229
211,14/06/2018,458,253,23,3,4.27
212,24/12/2016,412,67,2,2,2.789
213,10/01/2019,332,297,10,1,3.131
214,17/10/2017,200,39,2,4,2.789
215,25/08/2019,48,35,17,1,4.719
216,25/07/2019,418,14,10,3,3.131
217,30/01/2016,153,174,14,3,3.519
218,14/07/2016,414,222,23,3,4.27
219,05/08/2017,16,283,6,4,1.589
220,07/08/2018,255,106,2,3,2.789
221,19/01/2016,177,292,14,3,3.519
222,11/02/2020,349,241,10,4,3.131
223,29/09/2018,24,41,9,2,2.319
224,20/07/2017,386,242,4,4,4.149
225,01/03/2016,258,144,2,4,2.789
226,17/03/2019,61,228,4,4,4.149
227,11/06/2018,292,132,13,2,3.279
228,15/12/2016,13,76,22,1,8.279
229,30/12/2020,8,237,14,4,3.519
230,02/06/2019,382,98,11,4,2.789
231,24/02/2015,468,262,20,4,5.119
232,18/08/2016,204,147,10,3,3.131
233,01/10/2017,478,133,18,4,4.561
234,24/01/2018,277,268,13,1,3.279
235,12/04/2018,458,251,6,1,1.589
236,13/07/2019,234,48,17,1,4.719
237,07/07/2016,30,241,7,3,2.919
238,18/09/2020,69,113,6,2,1.589
239,21/03/2018,118,57,21,1,6.119
240,19/03/2016,143,57,11,2,2.789
241,05/05/2016,34,253,3,1,4.269
242,03/02/2019,177,121,4,3,4.149
243,02/07/2018,332,53,7,3,2.919
244,08/04/2018,185,208,4,2,4.149
245,16/09/2019,340,15,22,1,8.279
246,20/04/2020,76,171,23,3,4.27
247,11/11/2020,76,152,19,2,4.879
248,21/10/2015,19,249,5,2,1.229
249,14/12/2019,390,104,9,1,2.319
250,17/09/2015,43,90,22,3,8.279
251,21/02/2017,204,122,23,3,4.27
252,07/07/2015,276,111,21,3,6.119
253,26/09/2020,107,177,11,3,2.789
254,02/12/2018,321,129,9,4,2.319
255,02/02/2016,44,26,22,1,8.279
256,20/10/2016,45,105,23,4,4.27
257,18/12/2015,449,224,6,2,1.589
258,23/12/2020,15,39,16,1,5.109
259,09/12/2017,342,290,4,2,4.149
260,20/10/2015,54,242,20,2,5.119
261,22/02/2019,40,183,11,4,2.789
262,05/05/2017,464,142,15,1,6.219
263,14/06/2018,178,88,13,4,3.279
264,28/11/2020,185,59,3,3,4.269
265,17/12/2017,455,256,16,1,5.109
266,23/11/2016,25,9,16,2,5.109
267,13/06/2019,286,65,7,1,2.919
268,29/10/2020,147,174,18,3,4.561
269,01/07/2019,310,16,13,2,3.279
270,11/08/2017,424,174,11,3,2.789
271,27/08/2016,365,153,3,2,4.269
272,15/08/2018,4,240,3,4,4.269
273,21/03/2017,345,21,7,4,2.919
274,18/05/2020,460,237,19,3,4.879
275,07/07/2015,197,200,11,1,2.789
276,23/02/2020,456,146,17,1,4.719
277,27/11/2020,386,252,6,1,1.589
278,03/11/2018,199,39,10,4,3.131
279,18/02/2019,204,277,8,4,5.389
280,10/04/2016,200,259,14,2,3.519
281,13/02/2015,336,217,14,2,3.519
282,19/06/2016,390,146,8,2,5.389
283,02/09/2016,497,219,13,4,3.279
284,25/03/2015,11,150,8,2,5.389
285,16/10/2019,31,284,8,4,5.389
286,06/02/2019,103,55,11,1,2.789
287,12/01/2015,111,137,4,1,4.149
288,26/07/2015,75,266,10,1,3.131
289,15/10/2019,214,300,11,2,2.789
290,06/08/2020,107,136,7,2,2.919
291,19/02/2016,447,188,3,3,4.269
292,23/01/2019,470,268,13,1,3.279
293,07/06/2016,416,182,7,4,2.919
294,15/03/2020,100,53,4,2,4.149
295,06/11/2019,7,9,11,1,2.789
296,07/11/2015,81,148,4,4,4.149
297,02/05/2020,443,213,9,3,2.319
298,22/11/2015,158,125,17,1,4.719
299,10/06/2020,338,265,15,2,6.219
300,05/01/2016,20,156,3,3,4.269
301,03/08/2018,441,18,4,4,4.149
302,05/08/2017,66,190,7,3,2.919
303,24/12/2019,257,292,8,2,5.389
304,20/05/2016,500,87,5,2,1.229
305,31/12/2017,54,7,3,4,4.269
306,17/10/2017,191,266,9,2,2.319
307,07/12/2017,393,39,18,2,4.561
308,13/08/2019,152,130,23,2,4.27
309,05/09/2017,127,104,17,4,4.719
310,20/04/2016,245,99,2,4,2.789
311,25/06/2020,315,231,11,3,2.789
312,02/03/2018,390,30,3,1,4.269
313,03/01/2020,338,53,4,3,4.149
314,20/07/2018,87,253,20,1,5.119
315,05/11/2016,311,157,19,1,4.879
316,27/05/2015,401,136,6,4,1.589
317,22/12/2015,185,114,7,1,2.919
318,28/11/2019,115,136,8,3,5.389
319,29/05/2016,352,176,5,3,1.229
320,04/11/2016,279,136,19,1,4.879
321,10/06/2019,334,100,17,1,4.719
322,09/06/2015,187,217,19,2,4.879
323,25/02/2016,391,110,3,3,4.269
324,08/03/2015,324,22,2,1,2.789
325,08/04/2015,410,237,16,3,5.109
326,10/04/2020,128,147,18,3,4.561
327,04/09/2016,470,171,17,2,4.719
328,09/11/2017,233,59,19,2,4.879
329,18/06/2015,392,65,6,4,1.589
330,07/12/2018,398,157,3,3,4.269
331,21/09/2018,447,125,4,2,4.149
332,26/11/2019,73,93,12,4,1.899
333,01/11/2019,151,183,17,2,4.719
334,23/05/2015,212,224,14,4,3.519
335,27/03/2016,374,183,19,3,4.879
336,13/03/2019,263,167,8,4,5.389
337,31/08/2017,356,167,15,1,6.219
338,30/11/2015,370,81,5,1,1.229
339,12/02/2019,143,76,11,1,2.789
340,17/05/2020,479,75,16,2,5.109
341,27/05/2020,268,265,13,3,3.279
342,05/09/2016,178,15,20,1,5.119
343,01/11/2019,235,216,4,4,4.149
344,16/04/2020,106,102,9,4,2.319
345,01/11/2020,162,208,14,3,3.519
346,12/03/2019,278,10,16,3,5.109
347,28/11/2015,78,103,9,3,2.319
348,17/12/2020,450,113,17,1,4.719
349,12/05/2019,411,257,2,3,2.789
350,11/03/2016,417,40,9,2,2.319
351,20/06/2017,404,193,14,4,3.519
352,20/10/2017,176,58,23,2,4.27
353,12/03/2017,10,118,10,1,3.131
354,02/02/2018,28,266,11,3,2.789
355,13/11/2018,34,83,23,1,4.27
356,24/06/2020,484,60,22,1,8.279
357,31/12/2016,60,233,23,1,4.27
358,13/04/2017,152,2,13,4,3.279
359,21/02/2016,363,143,14,1,3.519
360,12/01/2018,472,275,17,1,4.719
361,31/12/2017,446,171,11,2,2.789
362,07/02/2020,125,112,15,4,6.219
363,28/10/2019,117,16,11,2,2.789
364,13/03/2019,224,36,16,4,5.109
365,18/11/2018,428,274,11,1,2.789
366,01/08/2016,273,140,16,2,5.109
367,18/02/2017,470,289,21,4,6.119
368,23/12/2016,140,70,11,3,2.789
369,08/01/2019,224,176,23,3,4.27
370,17/09/2020,413,51,20,1,5.119
371,05/06/2019,41,158,13,4,3.279
372,29/12/2015,390,292,12,4,1.899
373,09/01/2018,23,144,5,1,1.229
374,26/12/2020,211,211,17,1,4.719
375,26/07/2017,189,218,14,1,3.519
376,17/03/2016,139,45,16,1,5.109
377,02/06/2020,31,179,7,2,2.919
378,13/08/2017,393,178,14,1,3.519
379,12/03/2016,6,178,7,1,2.919
380,22/05/2019,71,8,23,1,4.27
381,26/11/2016,180,2,12,1,1.899
382,20/01/2019,233,150,8,1,5.389
383,09/04/2015,275,242,19,2,4.879
384,09/03/2020,116,61,8,1,5.389
385,20/09/2015,430,41,4,3,4.149
386,03/11/2016,404,232,10,4,3.131
387,20/11/2016,389,236,23,3,4.27
388,21/02/2016,371,51,18,2,4.561
389,14/03/2020,334,89,11,1,2.789
390,04/09/2017,273,224,13,1,3.279
391,08/07/2015,183,116,7,1,2.919
392,27/01/2018,61,214,12,1,1.899
393,19/04/2019,107,208,19,3,4.879
394,04/12/2020,222,118,3,4,4.269
395,30/08/2019,402,157,20,2,5.119
396,29/04/2020,288,93,6,1,1.589
397,21/12/2019,469,151,12,3,1.899
398,06/01/2019,488,282,7,3,2.919
399,10/03/2020,206,298,21,2,6.119
400,09/11/2020,429,268,6,2,1.589
401,20/04/2019,65,98,8,2,5.389
402,10/02/2019,262,210,10,1,3.131
403,21/01/2015,84,67,13,3,3.279
404,16/10/2018,388,64,7,1,2.919
405,24/03/2017,212,150,5,3,1.229
406,08/09/2017,486,130,6,2,1.589
407,25/01/2018,43,126,16,1,5.109
408,02/07/2019,13,108,6,1,1.589
409,15/10/2018,12,187,22,1,8.279
410,26/07/2016,311,94,19,2,4.879
411,20/08/2017,427,151,16,4,5.109
412,20/07/2017,368,144,16,2,5.109
413,14/08/2015,110,224,15,4,6.219
414,19/12/2018,92,190,16,3,5.109
415,04/09/2016,492,179,17,1,4.719
416,15/01/2020,86,144,14,3,3.519
417,18/08/2019,415,248,15,3,6.219
418,23/08/2015,82,86,18,3,4.561
419,28/03/2017,87,129,22,1,8.279
420,05/11/2020,412,128,15,3,6.219
421,25/12/2017,261,28,20,4,5.119
422,15/02/2019,391,298,12,1,1.899
423,05/03/2015,474,158,12,1,1.899
424,22/07/2017,39,205,17,4,4.719
425,11/07/2018,302,149,17,1,4.719
426,30/09/2019,421,61,15,3,6.219
427,30/03/2018,65,32,14,1,3.519
428,23/07/2019,356,249,6,3,1.589
429,13/01/2016,240,171,23,4,4.27
430,21/07/2017,431,126,9,4,2.319
431,14/02/2018,276,299,23,3,4.27
432,01/11/2015,460,231,13,3,3.279
433,27/02/2016,350,206,16,1,5.109
434,26/04/2020,154,299,4,1,4.149
435,01/07/2017,259,26,21,4,6.119
436,19/10/2020,326,193,9,3,2.319
437,03/02/2017,36,254,5,3,1.229
438,20/09/2019,478,130,2,4,2.789
439,09/10/2019,63,3,4,1,4.149
440,22/08/2016,91,180,20,3,5.119
441,12/06/2016,144,33,18,3,4.561
442,19/05/2015,292,227,12,2,1.899
443,12/08/2020,104,147,11,1,2.789
444,29/06/2017,38,215,13,1,3.279
445,13/10/2019,217,80,18,3,4.561
446,15/08/2018,248,210,20,1,5.119
447,24/12/2017,80,219,19,2,4.879
448,29/07/2018,388,228,17,3,4.719
449,22/08/2015,425,190,3,4,4.269
450,01/08/2016,446,89,20,3,5.119
451,11/07/2020,38,93,19,4,4.879
452,14/02/2015,395,242,13,4,3.279
453,04/09/2020,427,68,15,2,6.219
454,16/06/2020,245,69,5,2,1.229
455,16/06/2019,156,3,22,2,8.279
456,21/01/2019,239,24,5,1,1.229
457,24/02/2019,317,56,23,2,4.27
458,05/02/2020,358,84,8,1,5.389
459,25/09/2018,164,103,11,2,2.789
460,22/02/2018,213,204,9,2,2.319
461,19/02/2016,25,223,15,1,6.219
462,01/03/2015,72,72,9,2,2.319
463,12/09/2016,331,195,14,4,3.519
464,18/03/2016,411,38,22,4,8.279
465,21/09/2019,187,34,6,2,1.589
466,29/10/2015,142,224,13,3,3.279
467,26/08/2017,481,180,21,2,6.119
468,04/06/2015,222,32,6,1,1.589
469,04/07/2020,126,118,2,3,2.789
470,31/12/2017,434,165,21,4,6.119
471,06/10/2018,393,166,9,2,2.319
472,12/04/2019,210,275,9,4,2.319
473,25/08/2016,239,85,18,4,4.561
474,13/09/2015,78,99,17,2,4.719
475,13/04/2018,473,40,19,2,4.879
476,05/06/2018,130,38,7,2,2.919
477,07/03/2017,80,119,19,3,4.879
478,17/04/2019,270,118,18,3,4.561
479,28/02/2017,217,103,6,2,1.589
480,29/08/2016,214,298,6,4,1.589
481,26/06/2016,238,61,15,4,6.219
482,23/03/2020,153,295,9,3,2.319
483,01/06/2019,309,67,10,4,3.131
484,21/03/2016,234,205,16,4,5.109
485,24/01/2020,287,56,21,4,6.119
486,06/06/2019,80,18,3,3,4.269
487,11/12/2017,255,226,23,1,4.27
488,24/10/2018,108,75,13,4,3.279
489,18/10/2017,14,75,22,3,8.279
490,07/03/2015,495,199,18,4,4.561
491,03/02/2018,205,88,5,3,1.229
492,12/10/2020,72,51,13,3,3.279
493,20/11/2017,153,206,6,4,1.589
494,14/12/2016,499,181,3,2,4.269
495,21/06/2019,414,222,10,1,3.131
496,15/10/2019,408,166,16,3,5.109
497,05/12/2018,353,36,8,4,5.389
498,31/05/2015,357,119,15,1,6.219
499,31/10/2018,248,11,18,2,4.561
500,12/05/2020,378,247,15,1,6.219
501,30/05/2017,419,86,2,4,2.789
502,26/09/2017,279,43,19,1,4.879
503,16/01/2016,87,128,5,3,1.229
504,09/04/2019,446,49,14,1,3.519
505,06/10/2018,166,238,22,3,8.279
506,10/08/2016,483,24,20,3,5.119
507,02/10/2020,77,52,23,3,4.27
508,10/11/2019,323,32,14,4,3.519
509,12/08/2017,153,290,18,3,4.561
510,25/08/2016,230,215,15,2,6.219
511,13/09/2017,312,249,7,4,2.919
512,21/01/2015,172,177,16,1,5.109
513,21/06/2019,391,145,4,1,4.149
514,08/02/2015,347,241,11,4,2.789
515,21/09/2017,373,164,10,3,3.131
516,22/07/2017,244,294,14,3,3.519
517,20/01/2019,356,215,21,2,6.119
518,01/05/2017,3,169,16,2,5.109
519,11/05/2019,246,140,2,3,2.789
520,28/10/2017,228,10,5,2,1.229
521,04/01/2016,243,154,18,3,4.561
522,06/01/2018,380,258,9,4,2.319
523,15/11/2019,174,261,20,1,5.119
524,08/03/2020,359,49,12,4,1.899
525,18/08/2016,301,33,6,3,1.589
526,09/02/2017,385,40,18,4,4.561
527,02/06/2019,495,278,10,1,3.131
528,05/12/2019,409,178,23,3,4.27
529,29/03/2018,389,237,13,2,3.279
530,14/04/2015,124,95,4,2,4.149
531,10/06/2015,237,109,9,3,2.319
532,05/06/2017,449,130,3,4,4.269
533,22/01/2019,218,64,22,1,8.279
534,24/02/2017,287,215,16,3,5.109
535,08/10/2015,453,90,3,3,4.269
536,18/10/2016,400,238,9,1,2.319
537,06/01/2015,288,11,7,3,2.919
538,10/04/2016,198,64,9,1,2.319
539,15/04/2018,269,254,5,4,1.229
540,28/05/2019,3,155,5,2,1.229
541,14/06/2018,183,45,15,2,6.219
542,28/12/2019,244,93,6,2,1.589
543,09/09/2015,484,157,5,4,1.229
544,17/06/2020,365,273,11,3,2.789
545,12/04/2019,465,40,11,1,2.789
546,12/06/2020,164,193,3,2,4.269
547,13/10/2016,83,300,16,1,5.109
548,14/10/2020,383,15,19,1,4.879
549,27/06/2016,449,91,13,4,3.279
550,14/10/2016,310,19,12,4,1.899
551,15/04/2020,436,247,7,2,2.919
552,18/01/2019,57,59,6,2,1.589
553,04/07/2017,185,172,13,4,3.279
554,02/12/2016,490,249,3,4,4.269
555,14/07/2018,494,41,13,2,3.279
556,26/11/2020,441,115,19,2,4.879
557,06/10/2016,123,123,10,4,3.131
558,29/12/2015,200,260,23,1,4.27
559,09/12/2019,496,81,7,2,2.919
560,09/02/2015,404,192,15,4,6.219
561,08/06/2019,384,214,7,1,2.919
562,13/01/2020,148,26,14,1,3.519
563,03/06/2020,430,268,3,4,4.269
564,01/03/2018,204,264,8,2,5.389
565,30/10/2019,384,212,2,2,2.789
566,11/06/2019,15,279,20,4,5.119
567,20/11/2016,101,275,18,1,4.561
568,28/08/2019,285,56,14,4,3.519
569,25/01/2019,417,199,5,4,1.229
570,05/10/2018,484,77,5,4,1.229
571,22/05/2017,251,135,14,4,3.519
572,16/03/2020,129,122,14,1,3.519
573,06/11/2018,453,193,15,1,6.219
574,30/11/2020,332,18,23,4,4.27
575,09/02/2018,150,203,21,4,6.119
576,04/06/2016,285,10,2,1,2.789
577,30/06/2017,84,107,11,2,2.789
578,16/08/2016,240,220,20,3,5.119
579,12/07/2017,297,106,5,1,1.229
580,04/02/2015,392,212,14,3,3.519
581,28/09/2015,295,74,6,2,1.589
582,22/01/2017,296,82,3,4,4.269
583,18/05/2019,470,14,8,4,5.389
584,07/01/2015,29,183,17,1,4.719
585,08/04/2016,247,91,15,3,6.219
586,03/09/2018,232,146,9,4,2.319
587,03/10/2017,313,69,15,4,6.219
588,09/11/2020,439,152,20,2,5.119
589,28/09/2015,155,98,10,2,3.131
590,23/03/2019,154,283,9,2,2.319
591,09/12/2016,367,82,14,4,3.519
592,29/03/2018,378,44,3,4,4.269
593,23/01/2016,155,59,9,3,2.319
594,29/08/2018,22,277,2,3,2.789
595,27/03/2015,181,243,9,3,2.319
596,15/08/2020,117,124,13,2,3.279
597,20/03/2017,245,171,11,4,2.789
598,04/03/2019,138,83,16,1,5.109
599,18/09/2019,485,264,21,4,6.119
600,26/05/2019,241,248,14,1,3.519
601,14/07/2017,111,131,3,4,4.269
602,24/03/2017,268,48,10,4,3.131
603,31/08/2019,67,109,20,2,5.119
604,01/05/2016,3,43,14,1,3.519
605,19/09/2019,335,152,20,4,5.119
606,30/01/2015,129,28,16,4,5.109
607,24/05/2016,21,285,20,1,5.119
608,31/03/2020,464,221,23,1,4.27
609,08/08/2017,182,281,3,3,4.269
610,20/03/2017,138,74,21,1,6.119
611,13/08/2019,147,163,12,4,1.899
612,07/12/2017,169,240,15,2,6.219
613,13/05/2015,351,267,8,4,5.389
614,23/07/2020,66,196,5,1,1.229
615,26/02/2016,43,280,15,2,6.219
616,18/05/2016,151,252,21,4,6.119
617,02/12/2015,85,227,20,1,5.119
618,24/02/2020,104,288,15,2,6.219
619,17/02/2020,474,50,6,1,1.589
620,22/11/2016,444,209,19,1,4.879
621,30/09/2019,59,125,18,4,4.561
622,06/09/2017,247,289,23,2,4.27
623,14/03/2015,368,283,11,2,2.789
624,22/05/2017,459,98,16,4,5.109
625,06/01/2019,68,278,16,1,5.109
626,09/05/2015,195,284,6,2,1.589
627,29/04/2019,407,135,9,3,2.319
628,03/10/2016,173,156,17,4,4.719
629,12/01/2015,255,125,8,1,5.389
630,25/04/2018,362,179,9,4,2.319
631,06/07/2019,132,232,23,3,4.27
632,23/10/2017,345,104,10,3,3.131
633,15/12/2018,376,226,22,3,8.279
634,12/02/2018,445,148,21,1,6.119
635,16/05/2020,405,91,20,4,5.119
636,18/04/2018,258,110,5,3,1.229
637,06/04/2020,5,134,6,4,1.589
638,25/06/2019,488,274,7,2,2.919
639,16/05/2019,258,216,9,3,2.319
640,05/01/2018,356,36,4,3,4.149
641,14/08/2015,326,73,7,2,2.919
642,17/05/2015,379,173,21,2,6.119
643,07/04/2016,323,178,11,4,2.789
644,04/12/2015,381,292,4,1,4.149
645,08/06/2018,103,40,15,2,6.219
646,10/11/2015,160,133,21,2,6.119
647,03/03/2020,269,185,13,3,3.279
648,16/02/2016,419,71,16,2,5.109
649,29/10/2016,235,37,15,2,6.219
650,06/04/2020,250,286,15,4,6.219
651,01/09/2018,3,223,21,3,6.119
652,12/11/2019,267,205,8,2,5.389
653,04/11/2016,219,251,23,1,4.27
654,27/12/2020,426,277,13,4,3.279
655,16/05/2020,293,106,4,1,4.149
656,15/10/2017,159,104,9,2,2.319
657,06/01/2020,329,191,20,2,5.119
658,11/02/2020,436,41,18,4,4.561
659,20/12/2019,124,102,3,3,4.269
